Date,Close,Volume,Open,High,Low,Company
12/18/24,124.43,1750030,128.19,$128.76 ,$124.40 ,AWK
12/17/24,129.18,1114101,128.26,$131.17 ,$128.20 ,AWK
12/16/24,128.91,856440,129.47,$130.94 ,$128.72 ,AWK
12/13/24,129.59,747829,130.23,$130.53 ,$129.33 ,AWK
12/12/24,130.55,739246,130.39,$131.83 ,$129.61 ,AWK
12/11/24,130.34,822552,130.83,$131.59 ,$130.01 ,AWK
12/10/24,130.98,838106,130.72,$131.79 ,$128.76 ,AWK
12/9/24,130.72,1229395,131.97,$132.81 ,$130.54 ,AWK
12/6/24,132.37,1308021,131.83,$132.78 ,$131.10 ,AWK
12/5/24,132.1,1050177,131.21,$132.55 ,$130.18 ,AWK
12/4/24,131.01,1876588,133.99,$134.33 ,$130.41 ,AWK
12/3/24,134.1,1455789,136.14,$136.81 ,$134.08 ,AWK
12/2/24,135.6,1000034,137.45,$137.53 ,$135.03 ,AWK
11/29/24,136.94,593793,137.72,$138.58 ,$136.77 ,AWK
11/27/24,138.31,746698,138.36,$139.49 ,$137.92 ,AWK
11/26/24,137.59,1332914,136.76,$137.66 ,$135.10 ,AWK
11/25/24,136.74,4339223,138.26,$139.37 ,$136.37 ,AWK
11/22/24,137.31,1207697,138.99,$139.71 ,$137.03 ,AWK
11/21/24,138.79,953026,138.42,$139.08 ,$136.70 ,AWK
11/20/24,137.89,1096537,138.63,$139.17 ,$137.60 ,AWK
11/19/24,138.2,1585000,138.04,$138.40 ,$136.19 ,AWK
11/18/24,136.67,1373948,133.47,$136.89 ,$133.18 ,AWK
11/15/24,134.23,1590378,132.23,$134.38 ,$131.75 ,AWK
11/14/24,132.02,980565,132.89,$133.41 ,$131.89 ,AWK
11/13/24,132.44,1260330,133.37,$133.97 ,$131.75 ,AWK
11/12/24,132.43,932799,133.87,$133.87 ,$132.23 ,AWK
11/11/24,134.77,926780,135.31,$136.54 ,$134.50 ,AWK
11/8/24,136.09,1076188,133.75,$136.33 ,$133.50 ,AWK
11/7/24,132.84,1260214,133.8,$134.63 ,$132.69 ,AWK
11/6/24,133.58,2141197,133.74,$135.61 ,$131.52 ,AWK
11/5/24,137.11,911545,135.66,$137.13 ,$134.54 ,AWK
11/4/24,135.3,1569047,136.45,$136.46 ,$134.00 ,AWK
11/1/24,136,1044446,138.35,$138.89 ,$135.97 ,AWK
10/31/24,138.11,1544564,137.84,$139.99 ,$135.00 ,AWK
10/30/24,135.69,1329864,136.25,$136.91 ,$135.53 ,AWK
10/29/24,135.8,1054627,137.52,$138.13 ,$135.75 ,AWK
10/28/24,138.79,564825,138.89,$139.90 ,$138.18 ,AWK
10/25/24,137.66,592318,140.26,$140.26 ,$137.57 ,AWK
10/24/24,139.8,712508,142.39,$142.97 ,$139.74 ,AWK
10/23/24,142.12,1290045,141.25,$142.67 ,$141.07 ,AWK
10/22/24,140.75,888857,139.6,$140.99 ,$138.93 ,AWK
10/21/24,141.05,564938,141.94,$142.79 ,$140.70 ,AWK
10/18/24,141.96,818528,141.01,$142.20 ,$139.09 ,AWK
10/17/24,140.79,585710,142.28,$142.50 ,$140.23 ,AWK
10/16/24,142.58,651607,141.31,$142.84 ,$141.28 ,AWK
10/15/24,141.2,833797,140.4,$142.67 ,$140.32 ,AWK
10/14/24,140.37,597674,139.24,$140.72 ,$138.98 ,AWK
10/11/24,138.87,689286,137,$138.99 ,$136.66 ,AWK
10/10/24,136.22,876442,133.6,$136.78 ,$133.60 ,AWK
10/9/24,136.18,857934,136.89,$137.80 ,$135.50 ,AWK
10/8/24,137.39,918738,137.73,$138.43 ,$137.19 ,AWK
10/7/24,136.99,1689176,142.05,$142.05 ,$135.70 ,AWK
10/4/24,142.57,853596,143.34,$144.14 ,$141.71 ,AWK
10/3/24,144.68,847631,145.88,$146.25 ,$144.49 ,AWK
10/2/24,146.1,1324517,144.6,$146.98 ,$144.27 ,AWK
10/1/24,145.67,1003932,146.47,$147.21 ,$145.17 ,AWK
9/30/24,146.24,1791166,145.24,$146.28 ,$143.54 ,AWK
9/27/24,144.93,796620,144.35,$145.65 ,$144.14 ,AWK
9/26/24,143.18,938628,143.26,$144.17 ,$142.57 ,AWK
9/25/24,144.12,1082264,145.7,$146.01 ,$143.39 ,AWK
9/24/24,145.04,1838831,146.48,$147.99 ,$144.86 ,AWK
9/23/24,147.54,814898,147.89,$149.10 ,$147.15 ,AWK
9/20/24,147.23,3350380,149.08,$149.13 ,$145.74 ,AWK
9/19/24,149.08,1190606,148.22,$149.28 ,$147.15 ,AWK
9/18/24,148.94,1183226,149.48,$150.16 ,$148.11 ,AWK
9/17/24,149.9,1028042,149.09,$150.68 ,$148.83 ,AWK
9/16/24,149.09,714239,148.94,$149.78 ,$148.52 ,AWK
9/13/24,148.13,738103,147.53,$148.19 ,$146.60 ,AWK
9/12/24,147.13,706820,146.89,$147.73 ,$145.47 ,AWK
9/11/24,147.04,1052918,147.75,$147.98 ,$144.75 ,AWK
9/10/24,148.2,958103,146.43,$148.55 ,$145.85 ,AWK
9/9/24,146.01,837676,144.05,$146.06 ,$143.62 ,AWK
9/6/24,143.94,871870,144.91,$145.56 ,$143.56 ,AWK
9/5/24,144.51,702491,145.08,$145.39 ,$143.96 ,AWK
9/4/24,144.15,832592,143.82,$145.71 ,$142.99 ,AWK
9/3/24,143.48,914521,142.85,$145.24 ,$142.52 ,AWK
8/30/24,143.12,1833474,142.19,$143.52 ,$141.06 ,AWK
8/29/24,141.82,811314,141.86,$142.41 ,$140.73 ,AWK
8/28/24,141.77,983117,140.83,$143.34 ,$139.81 ,AWK
8/27/24,140.17,553083,140.51,$141.72 ,$139.69 ,AWK
8/26/24,141.06,418788,141.2,$142.25 ,$140.51 ,AWK
8/23/24,140.42,521426,140.42,$141.15 ,$139.55 ,AWK
8/22/24,140.02,771941,140.67,$141.15 ,$138.89 ,AWK
8/21/24,140.77,632910,141.09,$141.39 ,$140.03 ,AWK
8/20/24,141.27,520577,141.73,$142.11 ,$140.95 ,AWK
8/19/24,141.57,457857,141.17,$142.07 ,$141.07 ,AWK
8/16/24,140.98,643659,142.17,$142.70 ,$140.65 ,AWK
8/15/24,142.03,883670,141.29,$143.00 ,$140.59 ,AWK
8/14/24,141.67,562395,141,$142.80 ,$140.17 ,AWK
8/13/24,141.39,873327,142.47,$142.72 ,$141.21 ,AWK
8/12/24,142.56,676711,142.11,$142.78 ,$141.09 ,AWK
8/9/24,142.28,1057111,144.85,$145.01 ,$140.27 ,AWK
8/8/24,144.71,1188272,143.43,$146.59 ,$143.16 ,AWK
8/7/24,143.79,797593,143.89,$146.40 ,$143.63 ,AWK
8/6/24,143.6,1132177,144.15,$145.65 ,$142.95 ,AWK
8/5/24,142.72,1299229,148.99,$149.00 ,$142.70 ,AWK
8/2/24,147.35,1210560,147.08,$148.16 ,$144.03 ,AWK
8/1/24,144.5,1109124,142.99,$145.47 ,$142.13 ,AWK
7/31/24,142.36,1123995,141.68,$142.99 ,$141.35 ,AWK
7/30/24,143.67,848283,141.43,$143.92 ,$141.43 ,AWK
7/29/24,141.36,748286,141.99,$142.00 ,$139.90 ,AWK
7/26/24,141.71,645036,141.09,$142.36 ,$140.37 ,AWK
7/25/24,140.1,1009077,143,$144.30 ,$139.30 ,AWK
7/24/24,142.4,987140,141.11,$143.41 ,$140.74 ,AWK
7/23/24,140.49,573633,141.3,$141.81 ,$140.24 ,AWK
7/22/24,141.8,545873,140.91,$142.25 ,$140.55 ,AWK
7/19/24,141.16,856018,141.5,$142.11 ,$140.37 ,AWK
7/18/24,141.35,835243,141.74,$144.26 ,$140.52 ,AWK
7/17/24,142.53,1190632,139.57,$143.46 ,$139.08 ,AWK
7/16/24,139.08,670059,137.25,$139.22 ,$136.82 ,AWK
7/15/24,136.33,794673,138.25,$138.56 ,$136.23 ,AWK
7/12/24,139.08,1207417,136.95,$140.75 ,$136.75 ,AWK
7/11/24,136.22,1251035,133.46,$137.22 ,$133.24 ,AWK
7/10/24,132.23,681957,131.24,$132.45 ,$130.86 ,AWK
7/9/24,130.72,698189,129.54,$131.31 ,$128.87 ,AWK
7/8/24,129.92,874614,130.35,$130.81 ,$129.67 ,AWK
7/5/24,130.01,713906,128.63,$130.18 ,$127.21 ,AWK
7/3/24,127.96,402683,128.6,$129.88 ,$127.85 ,AWK
7/2/24,128.46,665363,128.08,$129.80 ,$127.80 ,AWK
7/1/24,127.76,767267,129.48,$130.96 ,$127.20 ,AWK
6/28/24,129.16,1201891,129.75,$129.92 ,$128.27 ,AWK
6/27/24,129.27,662054,129.3,$129.47 ,$127.98 ,AWK
6/26/24,129.58,691111,128.39,$129.75 ,$128.13 ,AWK
6/25/24,129.37,782369,132.3,$132.35 ,$129.22 ,AWK
6/24/24,132.18,802053,130.83,$133.35 ,$130.69 ,AWK
6/21/24,130.54,1960281,130.28,$131.69 ,$129.46 ,AWK
6/20/24,130.26,1061582,130.5,$131.00 ,$129.45 ,AWK